ensembl_gene_symbol	ensembl_gene_id	ensembl_transcript_id	hgnc_symbol	hgnc_id	refseq_gene_symbol	ncbi_gene_id	oncogene	tsgene	data_source
TRIB1	ENSG00000173334.4	ENST00000311922.4	TRIB1	HGNC:16891	TRIB1	10221	NA	NA	bushmanlab
TRIM24	ENSG00000122779.18	ENST00000343526.9	TRIM24	HGNC:11812	TRIM24	8805	NA	NA	bushmanlab
TRIM27	ENSG00000204713.11	ENST00000377199.4	TRIM27	HGNC:9975	TRIM27	5987	NA	NA	bushmanlab
TRIM33	ENSG00000197323.12	ENST00000358465.7	TRIM33	HGNC:16290	TRIM33	51592	NA	NA	bushmanlab
TRIM37	ENSG00000108395.14	ENST00000262294.12	TRIM37	HGNC:7523	TRIM37	4591	NA	NA	bushmanlab
TRIM62	ENSG00000116525.14	ENST00000291416.10	TRIM62	HGNC:25574	TRIM62	55223	NA	NA	bushmanlab
TRIO	ENSG00000038382.21	ENST00000344204.9	TRIO	HGNC:12303	TRIO	7204	NA	NA	bushmanlab
TRIP11	ENSG00000100815.12	ENST00000267622.8	TRIP11	HGNC:12305	TRIP11	9321	NA	NA	bushmanlab
TRMT10A	ENSG00000145331.14	ENST00000394876.7	TRMT10A	HGNC:28403	TRMT10A	93587	NA	NA	bushmanlab
TRO	ENSG00000067445.22	ENST00000173898.12	TRO	HGNC:12326	TRO	7216	NA	NA	bushmanlab
TRPM1	ENSG00000134160.15	ENST00000256552.11	TRPM1	HGNC:7146	TRPM1	4308	NA	NA	bushmanlab
TRPM8	ENSG00000144481.17	ENST00000324695.9	TRPM8	HGNC:17961	TRPM8	79054	NA	NA	bushmanlab
TRPV1	ENSG00000196689.13	ENST00000572705.2	TRPV1	HGNC:12716	TRPV1	7442	NA	NA	bushmanlab
TRPV2	ENSG00000187688.15	ENST00000338560.12	TRPV2	HGNC:18082	TRPV2	51393	NA	NA	bushmanlab
TRPV6	ENSG00000165125.22	ENST00000359396.9	TRPV6	HGNC:14006	TRPV6	55503	NA	NA	bushmanlab
TRRAP	ENSG00000196367.14	ENST00000456197.2	TRRAP	HGNC:12347	TRRAP	8295	NA	NA	bushmanlab
TSC1	ENSG00000165699.15	ENST00000298552.9	TSC1	HGNC:12362	TSC1	7248	NA	NA	bushmanlab
TSC2	ENSG00000103197.18	ENST00000219476.9	TSC2	HGNC:12363	TSC2	7249	NA	NA	bushmanlab
TSG101	ENSG00000074319.13	ENST00000251968.4	TSG101	HGNC:15971	TSG101	7251	NA	NA	bushmanlab
TSHR	ENSG00000165409.18	ENST00000298171.7	TSHR	HGNC:12373	TSHR	7253	NA	NA	bushmanlab
TSPAN1	ENSG00000117472.10	ENST00000372003.6	TSPAN1	HGNC:20657	TSPAN1	10103	NA	NA	bushmanlab
TSPAN8	ENSG00000127324.9	ENST00000247829.8	TSPAN8	HGNC:11855	TSPAN8	7103	NA	NA	bushmanlab
TSPOAP1	ENSG00000005379.17	ENST00000343736.9	TSPOAP1	HGNC:16831	TSPOAP1	9256	NA	NA	bushmanlab
TSPY1	ENSG00000258992.7	ENST00000451548.6	TSPY1	HGNC:12381	TSPY1	7258	NA	NA	bushmanlab
TTC39B	ENSG00000155158.20	ENST00000512701.6	TTC39B	HGNC:23704	TTC39B	158219	NA	NA	bushmanlab
TTL	ENSG00000114999.8	ENST00000233336.7	TTL	HGNC:21586	TTL	150465	NA	NA	bushmanlab
TTLL3	ENSG00000214021.17	ENST00000685419.1	TTLL3	HGNC:24483	TTLL3	26140	NA	NA	bushmanlab
TWIST1	ENSG00000122691.13	ENST00000242261.6	TWIST1	HGNC:12428	TWIST1	7291	NA	NA	bushmanlab
TWIST2	ENSG00000233608.4	ENST00000612363.2	TWIST2	HGNC:20670	TWIST2	117581	NA	NA	bushmanlab
TXN	ENSG00000136810.13	ENST00000374517.6	TXN	HGNC:12435	TXN	7295	NA	NA	bushmanlab
TYMP	ENSG00000025708.14	ENST00000252029.8	TYMP	HGNC:3148	TYMP	1890	NA	NA	bushmanlab
TYR	ENSG00000077498.9	ENST00000263321.6	TYR	HGNC:12442	TYR	7299	NA	NA	bushmanlab
TYRO3	ENSG00000092445.12	ENST00000263798.8	TYRO3	HGNC:12446	TYRO3	7301	NA	NA	bushmanlab
TYRP1	ENSG00000107165.13	ENST00000388918.10	TYRP1	HGNC:12450	TYRP1	7306	NA	NA	bushmanlab
U2AF1	ENSG00000160201.12	ENST00000291552.9	U2AF1	HGNC:12453	U2AF1	7307	NA	NA	bushmanlab
UBA7	ENSG00000182179.13	ENST00000333486.4	UBA7	HGNC:12471	UBA7	7318	NA	NA	bushmanlab
UBD	ENSG00000213886.4	ENST00000377050.5	UBD	HGNC:18795	UBD	10537	NA	NA	bushmanlab
UBE2C	ENSG00000175063.17	ENST00000356455.9	UBE2C	HGNC:15937	UBE2C	11065	NA	NA	bushmanlab
UBE2D2	ENSG00000131508.16	ENST00000398733.8	UBE2D2	HGNC:12475	UBE2D2	7322	NA	NA	bushmanlab
UBE3A	ENSG00000114062.22	ENST00000648336.2	UBE3A	HGNC:12496	UBE3A	7337	NA	NA	bushmanlab
UBL3	ENSG00000122042.10	ENST00000380680.5	UBL3	HGNC:12504	UBL3	5412	NA	NA	bushmanlab
UBL7	ENSG00000138629.16	ENST00000395081.7	UBL7	HGNC:28221	UBL7	84993	NA	NA	bushmanlab
UBR2	ENSG00000024048.11	ENST00000372901.2	UBR2	HGNC:21289	UBR2	23304	NA	NA	bushmanlab
UBR5	ENSG00000104517.13	ENST00000520539.6	UBR5	HGNC:16806	UBR5	51366	NA	NA	bushmanlab
UCHL5	ENSG00000116750.14	ENST00000367454.6	UCHL5	HGNC:19678	UCHL5	51377	NA	NA	bushmanlab
UHMK1	ENSG00000152332.16	ENST00000489294.2	UHMK1	HGNC:19683	UHMK1	127933	NA	NA	bushmanlab
UHRF2	ENSG00000147854.17	ENST00000276893.10	UHRF2	HGNC:12557	UHRF2	115426	NA	NA	bushmanlab
UNC79	ENSG00000133958.13	ENST00000555664.5	UNC79	HGNC:19966	UNC79	57578	NA	NA	bushmanlab
UQCRC2	ENSG00000140740.11	ENST00000268379.9	UQCRC2	HGNC:12586	UQCRC2	7385	NA	NA	bushmanlab
USB1	ENSG00000103005.12	ENST00000219281.8	USB1	HGNC:25792	USB1	79650	NA	NA	bushmanlab
USF1	ENSG00000158773.14	ENST00000368021.7	USF1	HGNC:12593	USF1	7391	NA	NA	bushmanlab
USP1	ENSG00000162607.13	ENST00000339950.5	USP1	HGNC:12607	USP1	7398	NA	NA	bushmanlab
USP15	ENSG00000135655.16	ENST00000280377.10	USP15	HGNC:12613	USP15	9958	NA	NA	bushmanlab
USP24	ENSG00000162402.14	ENST00000294383.7	USP24	HGNC:12623	USP24	23358	NA	NA	bushmanlab
USP3	ENSG00000140455.17	ENST00000380324.8	USP3	HGNC:12626	USP3	9960	NA	NA	bushmanlab
USP32	ENSG00000170832.13	ENST00000300896.9	USP32	HGNC:19143	USP32	84669	NA	NA	bushmanlab
USP38	ENSG00000170185.11	ENST00000307017.9	USP38	HGNC:20067	USP38	84640	NA	NA	bushmanlab
USP39	ENSG00000168883.20	ENST00000323701.11	USP39	HGNC:20071	USP39	10713	NA	NA	bushmanlab
USP4	ENSG00000114316.13	ENST00000265560.9	USP4	HGNC:12627	USP4	7375	NA	NA	bushmanlab
USP44	ENSG00000136014.12	ENST00000258499.8	USP44	HGNC:20064	USP44	84101	NA	NA	bushmanlab
USP6	ENSG00000129204.17	ENST00000574788.6	USP6	HGNC:12629	USP6	9098	NA	NA	bushmanlab
USP7	ENSG00000187555.16	ENST00000344836.9	USP7	HGNC:12630	USP7	7874	NA	NA	bushmanlab
USP8	ENSG00000138592.14	ENST00000307179.9	USP8	HGNC:12631	USP8	9101	NA	NA	bushmanlab
UTP3	ENSG00000132467.4	ENST00000254803.4	UTP3	HGNC:24477	UTP3	57050	NA	NA	bushmanlab
UTS2	ENSG00000049247.14	ENST00000361696.10	UTS2	HGNC:12636	UTS2	10911	NA	NA	bushmanlab
VAC14	ENSG00000103043.15	ENST00000261776.10	VAC14	HGNC:25507	VAC14	55697	NA	NA	bushmanlab
VAMP8	ENSG00000118640.11	ENST00000263864.10	VAMP8	HGNC:12647	VAMP8	8673	NA	NA	bushmanlab
VAV1	ENSG00000141968.8	ENST00000602142.6	VAV1	HGNC:12657	VAV1	7409	NA	NA	bushmanlab
VAV2	ENSG00000160293.17	ENST00000371850.8	VAV2	HGNC:12658	VAV2	7410	NA	NA	bushmanlab
VAV3	ENSG00000134215.16	ENST00000370056.9	VAV3	HGNC:12659	VAV3	10451	NA	NA	bushmanlab
VCAN	ENSG00000038427.16	ENST00000265077.8	VCAN	HGNC:2464	VCAN	1462	NA	NA	bushmanlab
VCL	ENSG00000035403.18	ENST00000211998.10	VCL	HGNC:12665	VCL	7414	NA	NA	bushmanlab
VCP	ENSG00000165280.18	ENST00000358901.11	VCP	HGNC:12666	VCP	7415	NA	NA	bushmanlab
VDAC1	ENSG00000213585.11	ENST00000265333.8	VDAC1	HGNC:12669	VDAC1	7416	NA	NA	bushmanlab
VEGFA	ENSG00000112715.26	ENST00000672860.3	VEGFA	HGNC:12680	VEGFA	7422	NA	NA	bushmanlab
VEGFD	ENSG00000165197.5	ENST00000297904.4	VEGFD	HGNC:3708	VEGFD	2277	NA	NA	bushmanlab
VEPH1	ENSG00000197415.12	ENST00000362010.7	VEPH1	HGNC:25735	VEPH1	79674	NA	NA	bushmanlab
VGF	ENSG00000128564.8	ENST00000249330.3	VGF	HGNC:12684	VGF	7425	NA	NA	bushmanlab
VHL	ENSG00000134086.8	ENST00000256474.3	VHL	HGNC:12687	VHL	7428	NA	NA	bushmanlab
VIP	ENSG00000146469.13	ENST00000367244.8	VIP	HGNC:12693	VIP	7432	NA	NA	bushmanlab
VMP1	ENSG00000062716.13	ENST00000262291.9	VMP1	HGNC:29559	VMP1	81671	NA	NA	bushmanlab
VRK1	ENSG00000100749.9	ENST00000216639.8	VRK1	HGNC:12718	VRK1	7443	NA	NA	bushmanlab
VRK2	ENSG00000028116.18	ENST00000340157.9	VRK2	HGNC:12719	VRK2	7444	NA	NA	bushmanlab
VTCN1	ENSG00000134258.18	ENST00000369458.8	VTCN1	HGNC:28873	VTCN1	79679	NA	NA	bushmanlab
VTI1A	ENSG00000151532.14	ENST00000393077.3	VTI1A	HGNC:17792	VTI1A	143187	NA	NA	bushmanlab
WAS	ENSG00000015285.11	ENST00000376701.5	WAS	HGNC:12731	WAS	7454	NA	NA	bushmanlab
WASF2	ENSG00000158195.11	ENST00000618852.5	WASF2	HGNC:12733	WASF2	10163	NA	NA	bushmanlab
WDCP	ENSG00000163026.12	ENST00000295148.9	WDCP	HGNC:26157	WDCP	80304	NA	NA	bushmanlab
WDR11	ENSG00000120008.16	ENST00000263461.11	WDR11	HGNC:13831	WDR11	55717	NA	NA	bushmanlab
WDR48	ENSG00000114742.14	ENST00000302313.10	WDR48	HGNC:30914	WDR48	57599	NA	NA	bushmanlab
WDR77	ENSG00000116455.14	ENST00000235090.10	WDR77	HGNC:29652	WDR77	79084	NA	NA	bushmanlab
WDR82	ENSG00000164091.12	ENST00000296490.8	WDR82	HGNC:28826	WDR82	80335	NA	NA	bushmanlab
WFDC1	ENSG00000103175.11	ENST00000219454.10	WFDC1	HGNC:15466	WFDC1	58189	NA	NA	bushmanlab
WIF1	ENSG00000156076.10	ENST00000286574.9	WIF1	HGNC:18081	WIF1	11197	NA	NA	bushmanlab
WNK2	ENSG00000165238.17	ENST00000427277.7	WNK2	HGNC:14542	WNK2	65268	NA	NA	bushmanlab
WNT1	ENSG00000125084.13	ENST00000293549.4	WNT1	HGNC:12774	WNT1	7471	NA	NA	bushmanlab
WNT10B	ENSG00000169884.14	ENST00000301061.9	WNT10B	HGNC:12775	WNT10B	7480	NA	NA	bushmanlab
WNT2	ENSG00000105989.10	ENST00000265441.8	WNT2	HGNC:12780	WNT2	7472	NA	NA	bushmanlab
WNT3	ENSG00000108379.10	ENST00000225512.6	WNT3	HGNC:12782	WNT3	7473	NA	NA	bushmanlab
WNT3A	ENSG00000154342.6	ENST00000284523.2	WNT3A	HGNC:15983	WNT3A	89780	NA	NA	bushmanlab
WNT5A	ENSG00000114251.15	ENST00000264634.9	WNT5A	HGNC:12784	WNT5A	7474	NA	NA	bushmanlab
WNT6	ENSG00000115596.4	ENST00000233948.4	WNT6	HGNC:12785	WNT6	7475	NA	NA	bushmanlab
WRAP53	ENSG00000141499.17	ENST00000396463.7	WRAP53	HGNC:25522	WRAP53	55135	NA	NA	bushmanlab
WRN	ENSG00000165392.11	ENST00000298139.7	WRN	HGNC:12791	WRN	7486	NA	NA	bushmanlab
WT1	ENSG00000184937.16	ENST00000452863.10	WT1	HGNC:12796	WT1	7490	NA	NA	bushmanlab
WWC1	ENSG00000113645.15	ENST00000265293.9	WWC1	HGNC:29435	WWC1	23286	NA	NA	bushmanlab
WWOX	ENSG00000186153.18	ENST00000566780.6	WWOX	HGNC:12799	WWOX	51741	NA	NA	bushmanlab
WWP1	ENSG00000123124.14	ENST00000517970.6	WWP1	HGNC:17004	WWP1	11059	NA	NA	bushmanlab
WWTR1	ENSG00000018408.15	ENST00000360632.8	WWTR1	HGNC:24042	WWTR1	25937	NA	NA	bushmanlab
XAF1	ENSG00000132530.17	ENST00000361842.8	XAF1	HGNC:30932	XAF1	54739	NA	NA	bushmanlab
XDH	ENSG00000158125.10	ENST00000379416.4	XDH	HGNC:12805	XDH	7498	NA	NA	bushmanlab
XIRP1	ENSG00000168334.9	ENST00000340369.4	XIRP1	HGNC:14301	XIRP1	165904	NA	NA	bushmanlab
XPA	ENSG00000136936.11	ENST00000375128.5	XPA	HGNC:12814	XPA	7507	NA	NA	bushmanlab
XPC	ENSG00000154767.15	ENST00000285021.12	XPC	HGNC:12816	XPC	7508	NA	NA	bushmanlab
XPO1	ENSG00000082898.19	ENST00000401558.7	XPO1	HGNC:12825	XPO1	7514	NA	NA	bushmanlab
XRCC3	ENSG00000126215.14	ENST00000555055.6	XRCC3	HGNC:12830	XRCC3	7517	NA	NA	bushmanlab
XRCC5	ENSG00000079246.16	ENST00000392132.7	XRCC5	HGNC:12833	XRCC5	7520	NA	NA	bushmanlab
XRCC6	ENSG00000196419.13	ENST00000360079.8	XRCC6	HGNC:4055	XRCC6	2547	NA	NA	bushmanlab
XXYLT1	ENSG00000173950.16	ENST00000310380.11	XXYLT1	HGNC:26639	XXYLT1	152002	NA	NA	bushmanlab
YAP1	ENSG00000137693.14	ENST00000282441.10	YAP1	HGNC:16262	YAP1	10413	NA	NA	bushmanlab
YBX1	ENSG00000065978.19	ENST00000321358.12	YBX1	HGNC:8014	YBX1	4904	NA	NA	bushmanlab
YEATS4	ENSG00000127337.7	ENST00000247843.7	YEATS4	HGNC:24859	YEATS4	8089	NA	NA	bushmanlab
YES1	ENSG00000176105.14	ENST00000314574.5	YES1	HGNC:12841	YES1	7525	NA	NA	bushmanlab
YPEL3	ENSG00000090238.12	ENST00000398841.6	YPEL3	HGNC:18327	YPEL3	83719	NA	NA	bushmanlab
YPEL5	ENSG00000119801.13	ENST00000261353.9	YPEL5	HGNC:18329	YPEL5	51646	NA	NA	bushmanlab
YWHAE	ENSG00000108953.17	ENST00000264335.13	YWHAE	HGNC:12851	YWHAE	7531	NA	NA	bushmanlab
ZAP70	ENSG00000115085.14	ENST00000264972.10	ZAP70	HGNC:12858	ZAP70	7535	NA	NA	bushmanlab
ZBTB16	ENSG00000109906.15	ENST00000335953.9	ZBTB16	HGNC:12930	ZBTB16	7704	NA	NA	bushmanlab
ZBTB33	ENSG00000177485.7	ENST00000557385.2	ZBTB33	HGNC:16682	ZBTB33	10009	NA	NA	bushmanlab
ZBTB48	ENSG00000204859.13	ENST00000377674.9	ZBTB48	HGNC:4930	ZBTB48	3104	NA	NA	bushmanlab
ZBTB7A	ENSG00000178951.9	ENST00000322357.9	ZBTB7A	HGNC:18078	ZBTB7A	51341	NA	NA	bushmanlab
ZC3H8	ENSG00000144161.14	ENST00000409573.7	ZC3H8	HGNC:30941	ZC3H8	84524	NA	NA	bushmanlab
ZCCHC8	ENSG00000033030.15	ENST00000633063.3	ZCCHC8	HGNC:25265	ZCCHC8	55596	NA	NA	bushmanlab
ZDHHC14	ENSG00000175048.17	ENST00000359775.10	ZDHHC14	HGNC:20341	ZDHHC14	79683	NA	NA	bushmanlab
ZDHHC18	ENSG00000204160.12	ENST00000374142.9	ZDHHC18	HGNC:20712	ZDHHC18	84243	NA	NA	bushmanlab
ZDHHC3	ENSG00000163812.15	ENST00000424952.7	ZDHHC3	HGNC:18470	ZDHHC3	51304	NA	NA	bushmanlab
ZDHHC7	ENSG00000153786.13	ENST00000313732.9	ZDHHC7	HGNC:18459	ZDHHC7	55625	NA	NA	bushmanlab
ZEB1	ENSG00000148516.23	ENST00000424869.6	ZEB1	HGNC:11642	ZEB1	6935	NA	NA	bushmanlab
ZEB2	ENSG00000169554.23	ENST00000627532.3	ZEB2	HGNC:14881	ZEB2	9839	NA	NA	bushmanlab
ZFHX3	ENSG00000140836.17	ENST00000268489.10	ZFHX3	HGNC:777	ZFHX3	463	NA	NA	bushmanlab
ZFP36	ENSG00000128016.7	ENST00000597629.3	ZFP36	HGNC:12862	ZFP36	7538	NA	NA	bushmanlab
ZFP36L1	ENSG00000185650.10	ENST00000439696.3	ZFP36L1	HGNC:1107	ZFP36L1	677	NA	NA	bushmanlab
ZFP36L2	ENSG00000152518.8	ENST00000282388.4	ZFP36L2	HGNC:1108	ZFP36L2	678	NA	NA	bushmanlab
ZFP64	ENSG00000020256.20	ENST00000216923.5	ZFP64	HGNC:15940	ZFP64	55734	NA	NA	bushmanlab
ZFX	ENSG00000005889.16	ENST00000304543.10	ZFX	HGNC:12869	ZFX	7543	NA	NA	bushmanlab
ZFYVE26	ENSG00000072121.17	ENST00000347230.9	ZFYVE26	HGNC:20761	ZFYVE26	23503	NA	NA	bushmanlab
ZMIZ1	ENSG00000108175.19	ENST00000334512.10	ZMIZ1	HGNC:16493	ZMIZ1	57178	NA	NA	bushmanlab
ZMYM2	ENSG00000121741.17	ENST00000610343.5	ZMYM2	HGNC:12989	ZMYM2	7750	NA	NA	bushmanlab
ZMYM3	ENSG00000147130.14	ENST00000314425.9	ZMYM3	HGNC:13054	ZMYM3	9203	NA	NA	bushmanlab
ZMYND10	ENSG00000004838.14	ENST00000231749.8	ZMYND10	HGNC:19412	ZMYND10	51364	NA	NA	bushmanlab
ZMYND8	ENSG00000101040.20	ENST00000471951.7	ZMYND8	HGNC:9397	ZMYND8	23613	NA	NA	bushmanlab
ZNF146	ENSG00000167635.12	ENST00000443387.3	ZNF146	HGNC:12931	ZNF146	7705	NA	NA	bushmanlab
ZNF217	ENSG00000171940.14	ENST00000371471.7	ZNF217	HGNC:13009	ZNF217	7764	NA	NA	bushmanlab
ZNF239	ENSG00000196793.14	ENST00000374446.7	ZNF239	HGNC:13031	ZNF239	8187	NA	NA	bushmanlab
ZNF281	ENSG00000162702.8	ENST00000367353.2	ZNF281	HGNC:13075	ZNF281	23528	NA	NA	bushmanlab
ZNF318	ENSG00000171467.16	ENST00000361428.3	ZNF318	HGNC:13578	ZNF318	24149	NA	NA	bushmanlab
ZNF331	ENSG00000130844.19	ENST00000449416.6	ZNF331	HGNC:15489	ZNF331	55422	NA	NA	bushmanlab
ZNF35	ENSG00000169981.11	ENST00000396056.7	ZNF35	HGNC:13099	ZNF35	7584	NA	NA	bushmanlab
ZNF384	ENSG00000126746.18	ENST00000683879.1	ZNF384	HGNC:11955	ZNF384	171017	NA	NA	bushmanlab
ZNF423	ENSG00000102935.12	ENST00000563137.7	ZNF423	HGNC:16762	ZNF423	23090	NA	NA	bushmanlab
ZNF429	ENSG00000197013.11	ENST00000358491.9	ZNF429	HGNC:20817	ZNF429	353088	NA	NA	bushmanlab
ZNF442	ENSG00000198342.10	ENST00000242804.9	ZNF442	HGNC:20877	ZNF442	79973	NA	NA	bushmanlab
ZNF479	ENSG00000185177.14	ENST00000319636.10	ZNF479	HGNC:23258	ZNF479	90827	NA	NA	bushmanlab
ZNF521	ENSG00000198795.11	ENST00000361524.8	ZNF521	HGNC:24605	ZNF521	25925	NA	NA	bushmanlab
ZNF569	ENSG00000196437.12	ENST00000316950.11	ZNF569	HGNC:24737	ZNF569	148266	NA	NA	bushmanlab
ZNF608	ENSG00000168916.16	ENST00000513986.2	ZNF608	HGNC:29238	ZNF608	57507	NA	NA	bushmanlab
ZNF668	ENSG00000167394.13	ENST00000300849.5	ZNF668	HGNC:25821	ZNF668	79759	NA	NA	bushmanlab
ZNF875	ENSG00000181666.19	ENST00000392153.8	ZNF875	HGNC:4928	ZNF875	284459	NA	NA	bushmanlab
ZNRF3	ENSG00000183579.16	ENST00000544604.7	ZNRF3	HGNC:18126	ZNRF3	84133	NA	NA	bushmanlab
ZRSR2	ENSG00000169249.14	ENST00000307771.8	ZRSR2	HGNC:23019	ZRSR2	8233	NA	NA	bushmanlab
ZSCAN22	ENSG00000182318.6	ENST00000329665.5	ZSCAN22	HGNC:4929	ZSCAN22	342945	NA	NA	bushmanlab
NA	NA	NA	IGK	HGNC:5715	IGK	50802	NA	NA	bushmanlab
NA	NA	NA	IGH	HGNC:5477	IGH	3492	NA	NA	bushmanlab
NA	NA	NA	TRA	HGNC:12027	TRA	6955	NA	NA	bushmanlab
NA	NA	NA	TRD	HGNC:12252	TRD	6964	NA	NA	bushmanlab
NA	NA	NA	GSTT1	HGNC:4641	NA	NA	NA	NA	bushmanlab
NA	NA	NA	TRG	HGNC:12271	TRG	6965	NA	NA	bushmanlab
NA	NA	NA	IGL	HGNC:5853	IGL	3535	NA	NA	bushmanlab
NA	NA	NA	TRB	HGNC:12155	TRB	6957	NA	NA	bushmanlab
ABCB1	ENSG00000085563.15	ENST00000622132.5	ABCB1	HGNC:40	ABCB1	5243	TRUE	FALSE	cancermine
ABL1	ENSG00000097007.19	ENST00000318560.6	ABL1	HGNC:76	ABL1	25	TRUE	FALSE	cancermine
AFP	ENSG00000081051.8	ENST00000395792.7	AFP	HGNC:317	AFP	174	TRUE	FALSE	cancermine
AIM2	ENSG00000163568.15	ENST00000368130.9	AIM2	HGNC:357	AIM2	9447	FALSE	TRUE	cancermine
AKT1	ENSG00000142208.18	ENST00000649815.2	AKT1	HGNC:391	AKT1	207	TRUE	TRUE	cancermine
AKT2	ENSG00000105221.18	ENST00000392038.7	AKT2	HGNC:392	AKT2	208	TRUE	FALSE	cancermine
ALDH1A2	ENSG00000128918.15	ENST00000249750.9	ALDH1A2	HGNC:15472	ALDH1A2	8854	FALSE	TRUE	cancermine
ALK	ENSG00000171094.18	ENST00000389048.8	ALK	HGNC:427	ALK	238	TRUE	FALSE	cancermine
ALKBH5	ENSG00000091542.9	ENST00000399138.5	ALKBH5	HGNC:25996	ALKBH5	54890	TRUE	FALSE	cancermine
AMER1	ENSG00000184675.11	ENST00000374869.8	AMER1	HGNC:26837	AMER1	139285	FALSE	TRUE	cancermine
ANXA7	ENSG00000138279.16	ENST00000372921.10	ANXA7	HGNC:545	ANXA7	310	FALSE	TRUE	cancermine
APC	ENSG00000134982.17	ENST00000257430.9	APC	HGNC:583	APC	324	TRUE	TRUE	cancermine
AR	ENSG00000169083.18	ENST00000374690.9	AR	HGNC:644	AR	367	TRUE	TRUE	cancermine
ARID1A	ENSG00000117713.21	ENST00000324856.13	ARID1A	HGNC:11110	ARID1A	8289	FALSE	TRUE	cancermine
ARID2	ENSG00000189079.17	ENST00000334344.11	ARID2	HGNC:18037	ARID2	196528	FALSE	TRUE	cancermine
ASCL1	ENSG00000139352.4	ENST00000266744.4	ASCL1	HGNC:738	ASCL1	429	TRUE	FALSE	cancermine
ATF2	ENSG00000115966.18	ENST00000264110.7	ATF2	HGNC:784	ATF2	1386	TRUE	TRUE	cancermine
ATF3	ENSG00000162772.17	ENST00000341491.9	ATF3	HGNC:785	ATF3	467	TRUE	TRUE	cancermine
AURKA	ENSG00000087586.18	ENST00000395915.8	AURKA	HGNC:11393	AURKA	6790	TRUE	FALSE	cancermine
AXL	ENSG00000167601.12	ENST00000301178.9	AXL	HGNC:905	AXL	558	TRUE	FALSE	cancermine
BAP1	ENSG00000163930.10	ENST00000460680.6	BAP1	HGNC:950	BAP1	8314	FALSE	TRUE	cancermine
BCL2	ENSG00000171791.14	ENST00000333681.5	BCL2	HGNC:990	BCL2	596	TRUE	FALSE	cancermine
BCL2L1	ENSG00000171552.14	ENST00000307677.5	BCL2L1	HGNC:992	BCL2L1	598	TRUE	FALSE	cancermine
BCL3	ENSG00000069399.15	ENST00000164227.10	BCL3	HGNC:998	BCL3	602	TRUE	FALSE	cancermine
BCL6	ENSG00000113916.18	ENST00000406870.7	BCL6	HGNC:1001	BCL6	604	TRUE	FALSE	cancermine
BCR	ENSG00000186716.21	ENST00000305877.13	BCR	HGNC:1014	BCR	613	TRUE	FALSE	cancermine
BECN1	ENSG00000126581.13	ENST00000590099.6	BECN1	HGNC:1034	BECN1	8678	FALSE	TRUE	cancermine
BMI1	ENSG00000168283.14	ENST00000376663.8	BMI1	HGNC:1066	BMI1	648	TRUE	FALSE	cancermine
BRAF	ENSG00000157764.14	ENST00000644969.2	BRAF	HGNC:1097	BRAF	673	TRUE	FALSE	cancermine
BRCA1	ENSG00000012048.23	ENST00000357654.9	BRCA1	HGNC:1100	BRCA1	672	TRUE	TRUE	cancermine
BRCA2	ENSG00000139618.17	ENST00000380152.8	BRCA2	HGNC:1101	BRCA2	675	FALSE	TRUE	cancermine
BRD7	ENSG00000166164.16	ENST00000394688.8	BRD7	HGNC:14310	BRD7	29117	FALSE	TRUE	cancermine
BRF2	ENSG00000104221.13	ENST00000220659.11	BRF2	HGNC:17298	BRF2	55290	TRUE	FALSE	cancermine
CADM1	ENSG00000182985.18	ENST00000331581.11	CADM1	HGNC:5951	CADM1	23705	FALSE	TRUE	cancermine
CALR	ENSG00000179218.15	ENST00000316448.10	CALR	HGNC:1455	CALR	811	TRUE	FALSE	cancermine
CARD11	ENSG00000198286.10	ENST00000396946.9	CARD11	HGNC:16393	CARD11	84433	TRUE	FALSE	cancermine
CASZ1	ENSG00000130940.15	ENST00000377022.8	CASZ1	HGNC:26002	CASZ1	54897	FALSE	TRUE	cancermine
CBL	ENSG00000110395.7	ENST00000264033.6	CBL	HGNC:1541	CBL	867	TRUE	FALSE	cancermine
CBLB	ENSG00000114423.23	ENST00000394030.8	CBLB	HGNC:1542	CBLB	868	TRUE	FALSE	cancermine
CCN4	ENSG00000104415.14	ENST00000250160.11	CCN4	HGNC:12769	CCN4	8840	TRUE	TRUE	cancermine
CCN6	ENSG00000112761.22	ENST00000368666.7	CCN6	HGNC:12771	CCN6	8838	FALSE	TRUE	cancermine
CCND1	ENSG00000110092.4	ENST00000227507.3	CCND1	HGNC:1582	CCND1	595	TRUE	FALSE	cancermine
CCNE1	ENSG00000105173.14	ENST00000262643.8	CCNE1	HGNC:1589	CCNE1	898	TRUE	FALSE	cancermine
CD274	ENSG00000120217.14	ENST00000381577.4	CD274	HGNC:17635	CD274	29126	TRUE	FALSE	cancermine
CDC73	ENSG00000134371.14	ENST00000367435.5	CDC73	HGNC:16783	CDC73	79577	FALSE	TRUE	cancermine
CDH1	ENSG00000039068.20	ENST00000261769.10	CDH1	HGNC:1748	CDH1	999	TRUE	TRUE	cancermine
CDH2	ENSG00000170558.10	ENST00000269141.8	CDH2	HGNC:1759	CDH2	1000	TRUE	FALSE	cancermine
CDH3	ENSG00000062038.15	ENST00000264012.9	CDH3	HGNC:1762	CDH3	1001	TRUE	FALSE	cancermine
CDK12	ENSG00000167258.15	ENST00000447079.6	CDK12	HGNC:24224	CDK12	51755	FALSE	TRUE	cancermine
