symbol	entrezgene	ensembl_gene_id	mechanism_of_inheritance	syndrome_cui	condition_cui	source	phenotypes	mechanism_of_disease	oncogene	tumor_suppressor	n_trunc_path	n_nontrunc_path	n_nontrunc_benign	benign_missense_rate	path_truncation_rate	confidence_level	id	panel_url	panel_version	panel_name	genename
EXT2	2132	ENSG00000151348	AD/AR	NA	C1851413	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Sarcoma;Sarcoma pertinent cancer susceptibility, ; Chondrosarcoma; NA; exostoses, osteosarcoma"	LoF	FALSE	FALSE	13	1	5	NA	0.93	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	exostosin glycosyltransferase 2
EZH2	2146	ENSG00000106462	AD	NA	NA	NCGC&PANEL_APP	"Childhood;Childhood solid tumours pertinent cancer susceptibility, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359"	LoF	TRUE	TRUE	0	2	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	enhancer of zeste 2 polycomb repressive complex 2 subunit
FAH	2184	ENSG00000103876	AR	NA	NA	TCGA_PANCAN_2018	Hepatocellular Carcinoma; Tyrosinemia	LoF	FALSE	FALSE	13	8	3	0.27	0.62	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	fumarylacetoacetate hydrolase
FAN1	22909	ENSG00000198690	NA	NA	NA	OTHER		NA	FALSE	FALSE	2	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	FANCD2 and FANCI associated nuclease 1
FANCA	2175	ENSG00000187741	AR	C3469521	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"AML, leukaemia; Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Childhood;Childhood solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility; Nasopharyngeal;Oral Oropharyngeal;Sinonasal, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Myeloid Hematological Malignancy, Squamous Cell Carcinoma (Head And Neck, Esophagus, Genital Tract); Fanconi anaemia (A)"	LoF	FALSE	FALSE	58	14	27	0.66	0.81	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	FA complementation group A
FANCB	2187	ENSG00000181544	NA	NA	NA	NCGC&PANEL_APP	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Childhood;Childhood solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility; Nasopharyngeal;Oral Oropharyngeal;Sinonasal, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359"	LoF	FALSE	FALSE	0	0	12	1	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	FA complementation group B
FANCC	2176	ENSG00000158169	AR	C3468041	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"AML, leukaemia; Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Childhood;Childhood solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility; Nasopharyngeal;Oral Oropharyngeal;Sinonasal, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Myeloid Hematological Malignancy, Squamous Cell Carcinoma (Head And Neck, Esophagus, Genital Tract); Fanconi anaemia (C)"	LoF	FALSE	FALSE	42	1	4	NA	0.98	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	FA complementation group C
FANCD2	2177	ENSG00000144554	AR	C3160738	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"AML, leukaemia; AML, Leukaemia; Fanconi anaemia D2; Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Childhood;Childhood solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility; Nasopharyngeal;Oral Oropharyngeal;Sinonasal, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359"	LoF	FALSE	FALSE	3	1	12	0.92	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	FA complementation group D2
FANCE	2178	ENSG00000112039	AR	C3160739	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"AML, leukaemia; AML, Leukaemia; Fanconi anaemia E; Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Childhood;Childhood solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility; Nasopharyngeal;Oral Oropharyngeal;Sinonasal, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359"	LoF	FALSE	FALSE	1	0	5	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	FA complementation group E
FANCF	2188	ENSG00000183161	AR	C3469526	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"AML, leukaemia; AML, Leukaemia; Fanconi anaemia F; Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Childhood;Childhood solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility; Nasopharyngeal;Oral Oropharyngeal;Sinonasal, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359"	LoF	FALSE	FALSE	1	0	4	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	FA complementation group F
FANCG	2189	ENSG00000221829	AR	C3469527	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"AML, leukaemia; Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Childhood;Childhood solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility; Nasopharyngeal;Oral Oropharyngeal;Sinonasal, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Myeloid Hematological Malignancy, Squamous Cell Carcinoma (Head And Neck, Esophagus, Genital Tract); Fanconi anaemia (G)"	LoF	FALSE	FALSE	3	0	5	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	FA complementation group G
FANCI	55215	ENSG00000140525	AR	C1836861	NA	NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Childhood;Childhood solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility; Nasopharyngeal;Oral Oropharyngeal;Sinonasal, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; NA; Fanconi anemia, complementation group I"	LoF	FALSE	FALSE	3	1	16	0.94	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	FA complementation group I
FANCL	55120	ENSG00000115392	AR	C3469528	NA	NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Childhood;Childhood solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility; Nasopharyngeal;Oral Oropharyngeal;Sinonasal, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; NA; Fanconi anemia, complementation group L"	LoF	FALSE	FALSE	1	1	5	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	FA complementation group L
FANCM	57697	ENSG00000187790	AD/AR	NA	NA	NCGC&PANEL_APP&TCGA_PANCAN_2018	"Childhood;Childhood solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility; Nasopharyngeal;Oral Oropharyngeal;Sinonasal, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Triple Negative Breast Cancer; NA"	LoF	FALSE	FALSE	4	0	13	1	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	FA complementation group M
FAS	355	ENSG00000026103	AD	C1328840	NA	PANEL_APP&TCGA_PANCAN_2018	"Haemonc;Haematological malignancies pertinent cancer susceptibility, ; Lymphoma; Autoimmunie lymphoproliferative syndrome"	LoF	FALSE	TRUE	3	0	3	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	Fas cell surface death receptor
FAT1	2195	ENSG00000083857	NA	NA	NA	CGC_94	pancreatic	NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	FAT atypical cadherin 1
FBXW7	55294	ENSG00000109670	NA	NA	NA	OTHER		NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	F-box and WD repeat domain containing 7
FEN1	2237	ENSG00000168496	NA	NA	NA	CGC_94	breast cancer	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	flap structure-specific endonuclease 1
FGF23	8074	ENSG00000118972	AD/AR	NA	NA	PANEL_APP	R230	NA	FALSE	FALSE	0	2	2	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	fibroblast growth factor 23
FGFR1	2260	ENSG00000077782	AD	NA	NA	OTHER		NA	TRUE	FALSE	3	2	5	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	fibroblast growth factor receptor 1
FGFR2	2263	ENSG00000066468	AD	NA	NA	PANEL_APP	R230	NA	TRUE	FALSE	1	32	4	0.11	0.03	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	fibroblast growth factor receptor 2
FGFR3	2261	ENSG00000068078	AD	NA	NA	PANEL_APP	R230	NA	TRUE	FALSE	0	15	10	0.4	0	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	fibroblast growth factor receptor 3
FH	2271	ENSG00000091483	AD/AR	C1708350	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Endometrial Carcinoma, R224, Neuro-endocrine Tumours- PCC and PGL, phaeochromocytoma;paraganglioma;carcinoid;Neuroendocrine, Renal, Sarcoma;Sarcoma pertinent cancer susceptibility, ; leiomyomatosis, renal; Renal Cell Cancer, Leiomyosarcoma (Uterus); Hereditary leiomyomatosis and renal cell cancer (HLRCC)"	LoF	FALSE	TRUE	40	28	2	0.07	0.59	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	fumarate hydratase
FHIT	2272	ENSG00000189283	NA	NA	NA	OTHER		NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	fragile histidine triad diadenosine triphosphatase
FLCN	201163	ENSG00000154803	AD/AR	CN221571	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, R224, R230, Renal; Renal Cell Cancer, Oncocytoma; Birt-Hogg-Dube syndrome; renal, fibrofolliculomas, trichodiscomas"	LoF	FALSE	TRUE	74	4	4	NA	0.95	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	folliculin
FLT3	2322	ENSG00000122025	NA	NA	NA	OTHER		NA	TRUE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	fms related receptor tyrosine kinase 3
FMR1	2332	ENSG00000102081	XD	NA	NA	OTHER		NA	FALSE	FALSE	0	0	3	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	FMRP translational regulator 1
FOXE1	2304	ENSG00000178919	AD	NA	NA	PANEL_APP		NA	FALSE	FALSE	0	0	1	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	forkhead box E1
FOXO1	2308	ENSG00000150907	NA	NA	NA	PANEL_APP	"Familial rhabdomyosarcoma or sarcoma;Familial rhabdoid tumours, Sarcoma;Sarcoma pertinent cancer susceptibility,"	NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	forkhead box O1
FOXO3	2309	ENSG00000118689	AD	NA	NA	PANEL_APP	GI tract tumours;Familial colon cancer;Multiple bowel polyps;Peutz-Jeghers syndrome;GI tract;Inherited colorectal cancer (with or without polyposis)	NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	forkhead box O3
FOXO4	4303	ENSG00000184481	NA	NA	NA	OTHER		NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	forkhead box O4
FOXP1	27086	ENSG00000114861	NA	NA	NA	OTHER		NA	TRUE	TRUE	4	3	4	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	forkhead box P1
G6PC1	2538	ENSG00000131482	NA	NA	NA	OTHER		NA	FALSE	FALSE	11	19	3	0.14	0.37	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	glucose-6-phosphatase catalytic subunit 1
GALNT12	79695	ENSG00000119514	AD	NA	NA	NCGC		LoF	FALSE	FALSE	0	0	6	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	polypeptide N-acetylgalactosaminyltransferase 12
GALNT3	2591	ENSG00000115339	AR	NA	NA	PANEL_APP	R230	NA	FALSE	FALSE	3	0	2	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	polypeptide N-acetylgalactosaminyltransferase 3
GATA1	2623	ENSG00000102145	NA	NA	NA	PANEL_APP	"Haemonc;Haematological malignancies pertinent cancer susceptibility,"	NA	FALSE	FALSE	1	0	1	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	GATA binding protein 1
GATA2	2624	ENSG00000179348	AD	C3280030	NA	NCGC&PANEL_APP&TCGA_PANCAN_2018	Haemonc;Haematological malignancies pertinent cancer susceptibility; R347; Myeloid Hematological Malignancy; Emberger MonoMAC syndrome	LoF	FALSE	FALSE	7	4	4	NA	0.64	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	GATA binding protein 2
GATA3	2625	ENSG00000107485	NA	NA	NA	OTHER		NA	FALSE	TRUE	0	0	1	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	GATA binding protein 3
GBA	2629	ENSG00000177628	AR	NA	NA	PANEL_APP&TCGA_PANCAN_2018	"Haemonc;Haematological malignancies pertinent cancer susceptibility, ; Myeloma, Lymphoma, Hepatocellular Carcinoma; Gauchers type 1"	LoF	FALSE	FALSE	8	25	1	0.04	0.24	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	glucosylceramidase beta
GDNF	2668	ENSG00000168621	NA	NA	NA	PANEL_APP	Neuro-endocrine Tumours- PCC and PGL	NA	FALSE	FALSE	0	0	2	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	glial cell derived neurotrophic factor
GJB2	2706	ENSG00000165474	AD	NA	NA	TCGA_PANCAN_2018	Squamous Cell Carcinoma; Keratosis-icthyosis-deafness syndrome (KID)	LoF	FALSE	FALSE	29	44	7	0.14	0.4	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	gap junction protein beta 2
GLA	2717	ENSG00000102393	NA	C0002986	NA	ACMG_SF30&PANEL_APP	R230	LoF	FALSE	FALSE	22	47	2	0.04	0.32	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	galactosidase alpha
GLI3	2737	ENSG00000106571	AD	NA	NA	OTHER		NA	FALSE	FALSE	3	1	22	0.96	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	GLI family zinc finger 3
GNAS	2778	ENSG00000087460	AD&mosaic	NA	NA	OTHER&PANEL_APP		NA	TRUE	FALSE	4	3	2	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	GNAS complex locus
GPC3	2719	ENSG00000147257	NA	C0796154	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Childhood;Childhood solid tumours pertinent cancer susceptibility, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Wilms Tumor, Hepatoblastoma, Hepatocellular Carcinoma, Neuroblastoma, Gonadoblastoma; Simpson-Golabi-Behmel syndrome; Wilms tumour"	LoF	FALSE	TRUE	3	0	2	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	glypican 3
GPC4	2239	ENSG00000076716	NA	NA	NA	OTHER		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	glypican 4
GPR161	23432	ENSG00000143147	AD	NA	NA	PANEL_APP	"Childhood;Childhood solid tumours pertinent cancer susceptibility, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359"	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	G protein-coupled receptor 161
GREM1	26585	ENSG00000166923	AD	NA	NA	NCGC&PANEL_APP	"GI tract tumours;Familial colon cancer;Multiple bowel polyps;Peutz-Jeghers syndrome;GI tract;Inherited colorectal cancer (with or without polyposis), R211;R209"	GoF	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"gremlin 1, DAN family BMP antagonist"
H19	283120	ENSG00000130600	NA	NA	NA	PANEL_APP	Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	H19 imprinted maternally expressed transcript
HABP2	3026	ENSG00000148702	AD	NA	NA	NCGC&PANEL_APP		NA	FALSE	FALSE	0	0	4	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	hyaluronan binding protein 2
HAX1	10456	ENSG00000143575	AR	NA	NA	PANEL_APP	"Haemonc;Haematological malignancies pertinent cancer susceptibility,"	NA	FALSE	FALSE	2	0	2	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	HCLS1 associated protein X-1
HFE	3077	ENSG00000010704	AR	C0392514	NA	ACMG_SF30&TCGA_PANCAN_2018	"Hepatocellular Carcinoma, Cholangiocarcinoma; Haemochromatosis"	LoF	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	homeostatic iron regulator
HMBS	3145	ENSG00000256269	AD	NA	NA	TCGA_PANCAN_2018	Hepatocellular Carcinoma; Porphyria (AI)	LoF	FALSE	FALSE	2	5	2	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	hydroxymethylbilane synthase
HNF1A	6927	ENSG00000135100	AR	C1840646&NA	NA	ACMG_SF30&CGC_94&NCGC&TCGA_PANCAN_2018	"hepatic adenoma, hepatocellular carcinoma; Hepatic Adenoma, Hepatocellular Carcinoma; familial hepatic adenoma"	LoF	FALSE	FALSE	3	10	7	0.41	0.23	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	HNF1 homeobox A
HNF1B	6928	ENSG00000275410	NA	NA	NA	NCGC		NA	FALSE	TRUE	19	11	4	0.27	0.63	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	HNF1 homeobox B
HOXB13	10481	ENSG00000159184	AD	NA	NA	NCGC&PANEL_APP		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	homeobox B13
HRAS	3265	ENSG00000174775	AD	C0587248	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Childhood;Childhood solid tumours pertinent cancer susceptibility, Familial rhabdomyosarcoma or sarcoma;Familial rhabdoid tumours, R230, Sarcoma;Sarcoma pertinent cancer susceptibility; Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; rhabdomyosarcoma, ganglioneuroblastoma, bladder; Rhabdomyosarcoma, Neuroblastoma, Transitional Cell Carcinoma (Bladder); Costello syndrome"	GoF	TRUE	FALSE	0	16	7	0.3	0	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"HRas proto-oncogene, GTPase"
IDH1	3417	ENSG00000138413	NA	NA	NA	OTHER		NA	FALSE	TRUE	0	1	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	isocitrate dehydrogenase (NADP(+)) 1
IGF2	3481	ENSG00000167244	NA	NA	NA	PANEL_APP	Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	insulin like growth factor 2
IGF2R	3482	ENSG00000197081	NA	NA	NA	OTHER		NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	insulin like growth factor 2 receptor
IKZF1	10320	ENSG00000185811	AD	NA	NA	OTHER&PANEL_APP	Haemonc;Haematological malignancies pertinent cancer susceptibility	NA	FALSE	FALSE	0	1	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	IKAROS family zinc finger 1
IKZF3	22806	ENSG00000161405	NA	NA	NA	OTHER		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	IKAROS family zinc finger 3
IRF4	3662	ENSG00000137265	AD	NA	NA	PANEL_APP	R230	NA	TRUE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	interferon regulatory factor 4
ITK	3702	ENSG00000113263	AR	C3552634	NA	PANEL_APP&TCGA_PANCAN_2018	"Haemonc;Haematological malignancies pertinent cancer susceptibility, ; Hodgkins Lymphoma; Lymphoproliferative syndrome 1"	LoF	FALSE	FALSE	0	0	3	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	IL2 inducible T cell kinase
JAK1	3716	ENSG00000162434	NA	NA	NA	OTHER		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	Janus kinase 1
JAK2	3717	ENSG00000096968	AD/AR	NA	NA	PANEL_APP	R230	NA	TRUE	FALSE	0	1	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	Janus kinase 2
JAK3	3718	ENSG00000105639	AR	NA	NA	OTHER		NA	FALSE	FALSE	2	1	3	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	Janus kinase 3
JMJD1C	221037	ENSG00000171988	AD	NA	NA	TCGA_PANCAN_2018	Intracranial Germ Cell Tumors	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	jumonji domain containing 1C
KCNQ1	3784	ENSG00000053918	AD	C4551647	NA	ACMG_SF30&OTHER		LoF	FALSE	TRUE	54	73	5	0.06	0.43	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	potassium voltage-gated channel subfamily Q member 1
